Season,Week,Team,Score,Opponent,Win
2016,12,ROBO,,DMPS,NA
2016,12,SHSR,,OCTO,NA
2016,12,SONG,,PHSH,NA
2016,12,TGIF,,FLUF,NA
2016,13,AFB,,ROBO,NA
2016,13,ATOM,,MCHO,NA
2016,13,BUTT,,DMPS,NA
2016,13,DMPS,,BUTT,NA
2016,13,FLUF,,SHSR,NA
2016,13,MCHO,,ATOM,NA
2016,13,OCTO,,PHSH,NA
2016,13,PHSH,,OCTO,NA
2016,13,ROBO,,AFB,NA
2016,13,SHSR,,FLUF,NA
2016,13,SONG,,TGIF,NA
2016,13,TGIF,,SONG,NA
2016,14,AFB,,DMPS,NA
2016,14,ATOM,,BUTT,NA
2016,14,BUTT,,ATOM,NA
2016,14,DMPS,,AFB,NA
2016,14,FLUF,,SONG,NA
2016,14,MCHO,,ROBO,NA
2016,14,OCTO,,TGIF,NA
2016,14,PHSH,,SHSR,NA
2016,14,ROBO,,MCHO,NA
2016,14,SHSR,,PHSH,NA
2016,14,SONG,,FLUF,NA
2016,14,TGIF,,OCTO,NA
2015,1,AFB,79.7,ATOM,0
2015,1,ATOM,98.6,AFB,1
2015,1,DMPS,144.9,PHSH,1
2015,1,FLUF,126.4,TGIF,1
2015,1,MCHO,102,SHSR,1
2015,1,OCTO,114,SLNH,0
2015,1,PHSH,110.9,DMPS,0
2015,1,ROBO,160.3,SONG,1
2015,1,SHSR,89.5,MCHO,0
2015,1,SLNH,163.6,OCTO,1
2015,1,SONG,103.8,ROBO,0
2015,1,TGIF,118.7,FLUF,0
2015,2,AFB,132.8,SHSR,1
2015,2,ATOM,91.9,TGIF,0
2015,2,DMPS,96.9,MCHO,1
2015,2,FLUF,105.6,ROBO,0
2015,2,MCHO,83.9,DMPS,0
2015,2,OCTO,113.8,SONG,0
2015,2,PHSH,106.9,SLNH,0
2015,2,ROBO,112.3,FLUF,1
2015,2,SHSR,123.3,AFB,0
2015,2,SLNH,115,PHSH,1
2015,2,SONG,120,OCTO,1
2015,2,TGIF,104.6,ATOM,1
2015,3,AFB,93.2,MCHO,0
2015,3,ATOM,164.6,FLUF,0
2015,3,DMPS,75.7,SLNH,0
2015,3,FLUF,173.1,ATOM,1
2015,3,MCHO,107.5,AFB,1
2015,3,OCTO,119.2,ROBO,0
2015,3,PHSH,160.8,SHSR,1
2015,3,ROBO,143.7,OCTO,1
2015,3,SHSR,129.1,PHSH,0
2015,3,SLNH,109.1,DMPS,1
2015,3,SONG,127.5,TGIF,1
2015,3,TGIF,78.6,SONG,0
2015,4,AFB,92.4,PHSH,1
2015,4,ATOM,101,SONG,0
2015,4,DMPS,90.1,SHSR,0
2015,4,FLUF,105.6,OCTO,0
2015,4,MCHO,89,SLNH,1
2015,4,OCTO,109.2,FLUF,1
2015,4,PHSH,75.5,AFB,0
2015,4,ROBO,126.6,TGIF,1
2015,4,SHSR,119.1,DMPS,1
2015,4,SLNH,59.3,MCHO,0
2015,4,SONG,112.1,ATOM,1
2015,4,TGIF,111.3,ROBO,0
2015,5,AFB,94.3,DMPS,0
2015,5,ATOM,84.7,ROBO,0
2015,5,DMPS,123.6,AFB,1
2015,5,FLUF,126.5,SONG,1
2015,5,MCHO,73.3,PHSH,0
2015,5,OCTO,109.5,TGIF,0
2015,5,PHSH,105.1,MCHO,1
2015,5,ROBO,142.2,ATOM,1
2015,5,SHSR,94.8,SLNH,0
2015,5,SLNH,108.7,SHSR,1
2015,5,SONG,97.2,FLUF,0
2015,5,TGIF,138.3,OCTO,1
2015,6,AFB,119,SLNH,1
2015,6,ATOM,144,OCTO,1
2015,6,DMPS,101.5,ROBO,0
2015,6,FLUF,126.2,MCHO,1
2015,6,MCHO,120.5,FLUF,0
2015,6,OCTO,126.1,ATOM,0
2015,6,PHSH,118.3,SONG,1
2015,6,ROBO,136.4,DMPS,1
2015,6,SHSR,98.3,TGIF,0
2015,6,SLNH,81.9,AFB,0
2015,6,SONG,103.1,PHSH,0
2015,6,TGIF,133.7,SHSR,1
2015,7,AFB,79.8,ROBO,0
2015,7,ATOM,82.3,DMPS,0
2015,7,DMPS,149.6,ATOM,1
2015,7,FLUF,116.9,PHSH,1
2015,7,MCHO,116.5,SONG,1
2015,7,OCTO,116.8,SHSR,0
2015,7,PHSH,93.7,FLUF,0
2015,7,ROBO,121.8,AFB,1
2015,7,SHSR,180.8,OCTO,1
2015,7,SLNH,100.1,TGIF,0
2015,7,SONG,89,MCHO,0
2015,7,TGIF,101.8,SLNH,1
2015,8,AFB,91,FLUF,0
2015,8,ATOM,101.5,MCHO,0
2015,8,DMPS,101,OCTO,0
2015,8,FLUF,149,AFB,1
2015,8,MCHO,149.4,ATOM,1
2015,8,OCTO,125.2,DMPS,1
2015,8,PHSH,119.2,TGIF,1
2015,8,ROBO,110.9,SLNH,0
2015,8,SHSR,109.9,SONG,1
2015,8,SLNH,138.8,ROBO,1
2015,8,SONG,90.2,SHSR,0
2015,8,TGIF,88.9,PHSH,0
2015,9,AFB,110.4,SONG,0
2015,9,ATOM,98.5,PHSH,1
2015,9,DMPS,123,TGIF,0
2015,9,FLUF,137.5,SLNH,1
2015,9,MCHO,108.2,OCTO,1
2015,9,OCTO,107.9,MCHO,0
2015,9,PHSH,86.6,ATOM,0
2015,9,ROBO,122.7,SHSR,0
2015,9,SHSR,131.5,ROBO,1
2015,9,SLNH,82.4,FLUF,0
2015,9,SONG,111.7,AFB,1
2015,9,TGIF,144.4,DMPS,1
2015,10,AFB,65.8,DMPS,0
2015,10,ATOM,106.6,ROBO,0
2015,10,DMPS,145.4,AFB,1
2015,10,FLUF,110.1,SONG,1
2015,10,MCHO,106.3,PHSH,0
2015,10,OCTO,113.9,TGIF,1
2015,10,PHSH,131.4,MCHO,1
2015,10,ROBO,135.1,ATOM,1
2015,10,SHSR,100.8,SLNH,1
2015,10,SLNH,95.7,SHSR,0
2015,10,SONG,103,FLUF,0
2015,10,TGIF,76.5,OCTO,0
2015,11,AFB,108,SLNH,1
2015,11,ATOM,121.4,OCTO,1
2015,11,DMPS,72.5,PHSH,0
2015,11,FLUF,132.8,TGIF,1
2015,11,MCHO,79.5,SHSR,1
2015,11,OCTO,115.5,ATOM,0
2015,11,PHSH,85.1,DMPS,1
2015,11,ROBO,66.9,SONG,0
2015,11,SHSR,78.4,MCHO,0
2015,11,SLNH,101.6,AFB,0
2015,11,SONG,95.5,ROBO,1
2015,11,TGIF,93.3,FLUF,0
2015,12,AFB,111.9,PHSH,1
2015,12,ATOM,89.1,SONG,1
2015,12,DMPS,131,SHSR,1
2015,12,FLUF,157.2,OCTO,1
2015,12,MCHO,89.7,SLNH,0
2015,12,OCTO,136.5,FLUF,0
2015,12,PHSH,74.2,AFB,0
2015,12,ROBO,124.8,TGIF,1
2015,12,SHSR,112.2,DMPS,0
2015,12,SLNH,105.2,MCHO,1
2015,12,SONG,82.6,ATOM,0
2015,12,TGIF,120.7,ROBO,0
2015,13,AFB,139.1,MCHO,1
2015,13,ATOM,109.6,FLUF,0
2015,13,DMPS,123.7,SLNH,1
2015,13,FLUF,109.7,ATOM,1
2015,13,MCHO,85.3,AFB,0
2015,13,OCTO,172.4,ROBO,1
2015,13,PHSH,99.6,SHSR,1
2015,13,ROBO,124,OCTO,0
2015,13,SHSR,97.5,PHSH,0
2015,13,SLNH,94.2,DMPS,0
2015,13,SONG,110.7,TGIF,0
2015,13,TGIF,123.9,SONG,1
2015,14,AFB,82.4,SHSR,0
2015,14,ATOM,94,TGIF,0
2015,14,DMPS,143.6,MCHO,1
2015,14,FLUF,121.2,ROBO,0
2015,14,MCHO,124.7,DMPS,0
2015,14,OCTO,110.8,SONG,1
2015,14,PHSH,77.2,SLNH,0
2015,14,ROBO,129.2,FLUF,1
2015,14,SHSR,86.4,AFB,1
2015,14,SLNH,114.2,PHSH,1
2015,14,SONG,81.1,OCTO,0
2015,14,TGIF,105.9,ATOM,1
2014,1,ATOM,90.6,SLNH,0
2014,1,ROBO,98.8,AFB,0
2014,1,PHSH,100.6,OCTO,0
2014,1,FLUF,104.4,TGIF,0
2014,1,SHSR,106.3,DMPS,0
2014,1,TGIF,107.7,FLUF,1
2014,1,MEGA,109.7,MCHO,0
2014,1,SLNH,123.2,ATOM,1
2014,1,OCTO,125.1,PHSH,1
2014,1,AFB,130.6,ROBO,1
2014,1,DMPS,132.4,SHSR,1
2014,1,MCHO,152,MEGA,1
2014,2,OCTO,100.5,TGIF,1
2014,2,SHSR,125.1,FLUF,1
2014,2,ATOM,79.5,PHSH,0
2014,2,DMPS,89.8,AFB,0
2014,2,TGIF,92.9,OCTO,0
2014,2,ROBO,143.4,MEGA,1
2014,2,MEGA,113.6,ROBO,0
2014,2,PHSH,119.5,ATOM,1
2014,2,AFB,130.9,DMPS,1
2014,2,FLUF,99.7,SHSR,0
2014,2,MCHO,123.5,SLNH,1
2014,2,SLNH,115.5,MCHO,0
2014,3,OCTO,126.8,ATOM,1
2014,3,SHSR,89.7,TGIF,0
2014,3,ATOM,97.9,OCTO,0
2014,3,DMPS,148.8,ROBO,1
2014,3,TGIF,114.6,SHSR,1
2014,3,ROBO,106.2,DMPS,0
2014,3,MEGA,79.4,SLNH,0
2014,3,PHSH,114.1,FLUF,1
2014,3,AFB,131.7,MCHO,1
2014,3,FLUF,79.1,PHSH,0
2014,3,MCHO,107.8,AFB,0
2014,3,SLNH,101.9,MEGA,1
2014,4,OCTO,142.2,FLUF,1
2014,4,SHSR,103.2,PHSH,1
2014,4,ATOM,121.1,TGIF,0
2014,4,DMPS,129.5,MCHO,1
2014,4,TGIF,129.4,ATOM,1
2014,4,ROBO,88.5,SLNH,1
2014,4,MEGA,72.6,AFB,0
2014,4,PHSH,100.4,SHSR,0
2014,4,AFB,138.6,MEGA,1
2014,4,FLUF,138,OCTO,0
2014,4,MCHO,93.7,DMPS,0
2014,4,SLNH,70.4,ROBO,0
2014,5,OCTO,111.3,MEGA,1
2014,5,SHSR,109.6,ATOM,1
2014,5,ATOM,105.8,SHSR,0
2014,5,DMPS,109.4,SLNH,1
2014,5,TGIF,99.6,ROBO,0
2014,5,ROBO,115.1,TGIF,1
2014,5,MEGA,95.6,OCTO,0
2014,5,PHSH,109.6,MCHO,0
2014,5,AFB,112.8,FLUF,1
2014,5,FLUF,102.5,AFB,0
2014,5,MCHO,121.8,PHSH,1
2014,5,SLNH,80.4,DMPS,0
2014,6,OCTO,108.1,ROBO,0
2014,6,SHSR,98.8,AFB,0
2014,6,ATOM,74.9,MCHO,0
2014,6,DMPS,105.5,FLUF,0
2014,6,TGIF,103.7,MEGA,0
2014,6,ROBO,133.4,OCTO,1
2014,6,MEGA,114.5,TGIF,1
2014,6,PHSH,100.3,SLNH,0
2014,6,AFB,118.5,SHSR,1
2014,6,FLUF,139.2,DMPS,1
2014,6,MCHO,126.1,ATOM,1
2014,6,SLNH,129,PHSH,1
2014,7,OCTO,111.6,SLNH,1
2014,7,SHSR,140.4,ROBO,1
2014,7,ATOM,110.7,MEGA,0
2014,7,DMPS,138,TGIF,1
2014,7,TGIF,84.4,DMPS,0
2014,7,ROBO,120.6,SHSR,0
2014,7,MEGA,122.3,ATOM,1
2014,7,PHSH,119.4,AFB,1
2014,7,AFB,83.1,PHSH,0
2014,7,FLUF,89.7,MCHO,0
2014,7,MCHO,97.8,FLUF,1
2014,7,SLNH,101.9,OCTO,0
2014,8,OCTO,128.4,DMPS,0
2014,8,SHSR,134.6,MEGA,0
2014,8,ATOM,79.7,AFB,0
2014,8,DMPS,130.6,OCTO,1
2014,8,TGIF,95.6,MCHO,0
2014,8,ROBO,136.5,PHSH,0
2014,8,MEGA,146.3,SHSR,1
2014,8,PHSH,163.7,ROBO,1
2014,8,AFB,155.4,ATOM,1
2014,8,FLUF,115.9,SLNH,0
2014,8,MCHO,106.5,TGIF,1
2014,8,SLNH,122.4,FLUF,1
2014,9,OCTO,126.3,AFB,0
2014,9,SHSR,137.2,MCHO,1
2014,9,ATOM,91.3,ROBO,0
2014,9,DMPS,96.2,PHSH,1
2014,9,TGIF,118.6,SLNH,1
2014,9,ROBO,155,ATOM,1
2014,9,MEGA,84.6,FLUF,1
2014,9,PHSH,94.9,DMPS,0
2014,9,AFB,136.7,OCTO,1
2014,9,FLUF,76,MEGA,0
2014,9,MCHO,136.6,SHSR,0
2014,9,SLNH,88.8,TGIF,0
2014,10,OCTO,102,MCHO,0
2014,10,SHSR,137.1,SLNH,0
2014,10,ATOM,134,DMPS,1
2014,10,DMPS,90.4,ATOM,0
2014,10,TGIF,94.9,AFB,0
2014,10,ROBO,139.2,FLUF,1
2014,10,MEGA,79.7,PHSH,0
2014,10,PHSH,105.3,MEGA,1
2014,10,AFB,142.2,TGIF,1
2014,10,FLUF,87.9,ROBO,0
2014,10,MCHO,155.8,OCTO,1
2014,10,SLNH,142.3,SHSR,1
2014,11,OCTO,94.8,FLUF,1
2014,11,SHSR,96.5,ATOM,0
2014,11,ATOM,113.4,SHSR,1
2014,11,DMPS,115.1,SLNH,1
2014,11,TGIF,87.2,PHSH,0
2014,11,ROBO,76.9,MCHO,0
2014,11,MEGA,99.1,AFB,0
2014,11,PHSH,115.8,TGIF,1
2014,11,AFB,111.8,MEGA,1
2014,11,FLUF,72.2,OCTO,0
2014,11,MCHO,96.1,ROBO,1
2014,11,SLNH,113.1,DMPS,0
2014,12,OCTO,119.9,SHSR,1
2014,12,SHSR,117.8,OCTO,0
2014,12,ATOM,133.9,PHSH,1
2014,12,DMPS,139.7,MEGA,1
2014,12,TGIF,92.7,FLUF,1
2014,12,ROBO,139.6,AFB,1
2014,12,MEGA,122.2,DMPS,0
2014,12,PHSH,102.1,ATOM,0
2014,12,AFB,98.2,ROBO,0
2014,12,FLUF,76.4,TGIF,0
2014,12,MCHO,111.4,SLNH,0
2014,12,SLNH,144.8,MCHO,1
2014,13,OCTO,164.2,ATOM,1
2014,13,SHSR,154.3,TGIF,1
2014,13,ATOM,140.2,OCTO,0
2014,13,DMPS,151.8,ROBO,1
2014,13,TGIF,105.4,SHSR,0
2014,13,ROBO,107.3,DMPS,0
2014,13,MEGA,119.4,SLNH,0
2014,13,PHSH,79.2,FLUF,0
2014,13,AFB,128.2,MCHO,1
2014,13,FLUF,98.6,PHSH,1
2014,13,MCHO,96.1,AFB,0
2014,13,SLNH,160.4,MEGA,1
2014,14,OCTO,137.1,TGIF,0
2014,14,SHSR,73.7,PHSH,1
2014,14,ATOM,119.8,FLUF,1
2014,14,DMPS,141.3,MCHO,1
2014,14,TGIF,149.7,OCTO,1
2014,14,ROBO,133.5,MEGA,0
2014,14,MEGA,164.9,ROBO,1
2014,14,PHSH,71.3,SHSR,0
2014,14,AFB,84.8,SLNH,0
2014,14,FLUF,96.5,ATOM,0
2014,14,MCHO,102.7,DMPS,0
2014,14,SLNH,159.3,AFB,1
2013,1,OCTO,67.4,TGIF,0
