ID,PrevWeek,2WeekAvg,3WeekAvg,4WeekAvg,Max,Min,Score
PHSH-2012-5,94.5,85.55,84.9,85.46666667,98,76.6,85.4
ROBO-2012-5,98,101.15,100.6833333,100.2791667,104.3,95.2,89.9
SHSR-2012-5,70.7,68.9,74.9,80.375,126.5,67.1,88
SLNH-2012-5,85.2,95.7,102.9166667,106.2,128.5,85.2,78.3
TGIF-2012-5,137.4,110.1,105.2833333,103.2,137.4,82.8,95.3
AFB-2012-6,107.9,111.8,108.5333333,106.5083333,126.3,88.3,87.8
ATOM-2012-6,63.4,70.35,75.16666667,77.225,92.3,63.4,70
DMPS-2012-6,115.4,106.25,101.35,98.16666667,115.4,79.5,79.3
FLUF-2012-6,86.6,95.05,95.3,93.88333333,103.5,66.5,104.6
MCHO-2012-6,74.2,89,90.33333333,91.525,116.4,74.2,86
MEGA-2012-6,70.4,77.8,78.61666667,78.12916667,85.2,52.1,128.3
OCTO-2012-6,121.5,99.6,91.38333333,87.83333333,121.5,71.8,88.7
PHSH-2012-6,85.4,89.95,88.48333333,87.5875,98,76.6,77.9
ROBO-2012-6,89.9,93.95,96.35,97.43333333,104.3,89.9,87
SHSR-2012-6,88,79.35,75.86666667,75.625,126.5,67.1,67.2
SLNH-2012-6,78.3,81.75,86.4,90.52916667,128.5,78.3,64.5
TGIF-2012-6,95.3,116.35,114.2666667,112.0208333,137.4,82.8,81.8
AFB-2012-7,87.8,97.85,102.5,104.0083333,126.3,87.8,66.6
ATOM-2012-7,70,66.7,67.91666667,69.72916667,92.3,63.4,91.3
DMPS-2012-7,79.3,97.35,100.3166667,100.575,115.4,79.3,84.6
FLUF-2012-7,104.6,95.6,95.41666667,95.3875,104.6,66.5,110.2
MCHO-2012-7,86,80.1,83.06666667,84.88333333,116.4,74.2,101.7
MEGA-2012-7,128.3,99.35,92.16666667,88.77916667,128.3,52.1,82.4
OCTO-2012-7,88.7,105.1,103.2666667,100.2958333,121.5,71.8,98.3
PHSH-2012-7,77.9,81.65,84.41666667,85.43333333,98,76.6,84.1
ROBO-2012-7,87,88.45,90.28333333,91.8,104.3,87,57.3
SHSR-2012-7,67.2,77.6,78.18333333,77.60416667,126.5,67.1,91.9
SLNH-2012-7,64.5,71.4,74.85,77.7375,128.5,64.5,38.1
TGIF-2012-7,81.8,88.55,97.81666667,101.9291667,137.4,81.8,104
AFB-2012-8,66.6,77.2,84.08333333,88.6875,126.3,66.6,101.9
ATOM-2012-8,91.3,80.65,76,73.97916667,92.3,63.4,95.9
DMPS-2012-8,84.6,81.95,87.08333333,90.39166667,115.4,79.3,89.4
FLUF-2012-8,110.2,107.4,103.4666667,101.4541667,110.2,66.5,110.5
MCHO-2012-8,101.7,93.85,89.26666667,87.71666667,116.4,74.2,76.3
MEGA-2012-8,82.4,105.35,103.35,100.5541667,128.3,52.1,89.9
OCTO-2012-8,98.3,93.5,97.36666667,98.84166667,121.5,71.8,103.1
PHSH-2012-8,84.1,81,81.21666667,82.01666667,98,76.6,74.3
ROBO-2012-8,57.3,72.15,77.58333333,80.75833333,104.3,57.3,55.8
SHSR-2012-8,91.9,79.55,78.9,78.72083333,126.5,67.1,134.7
SLNH-2012-8,38.1,51.3,58,62.2125,128.5,38.1,68.6
TGIF-2012-8,104,92.9,91.45,93.04166667,137.4,81.8,56.9
AFB-2012-9,101.9,84.25,81.9,82.44583333,126.3,66.6,91.2
ATOM-2012-9,95.9,93.6,89.28333333,85.9625,95.9,63.4,111
DMPS-2012-9,89.4,87,85.31666667,85.75833333,115.4,79.3,82.4
FLUF-2012-9,110.5,110.35,109.3666667,107.8916667,110.5,66.5,130.1
MCHO-2012-9,76.3,89,90.61666667,90.27916667,116.4,74.2,67.2
MEGA-2012-9,89.9,86.15,92.55,95.25,128.3,52.1,101.6
OCTO-2012-9,103.1,100.7,98.3,98.06666667,121.5,71.8,102.6
PHSH-2012-9,74.3,79.2,79.8,80.15416667,98,74.3,129.4
ROBO-2012-9,55.8,56.55,61.75,65.70833333,104.3,55.8,71.7
SHSR-2012-9,134.7,113.3,102.05,96.2625,134.7,67.1,114.8
SLNH-2012-9,68.6,53.35,52.66666667,54,128.5,38.1,95.5
TGIF-2012-9,56.9,80.45,84.6,86.3125,137.4,56.9,106.4
AFB-2012-10,91.2,96.55,92.45,89.8125,126.3,66.6,69.3
ATOM-2012-10,111,103.45,100.1666667,97.44583333,111,63.4,58.6
DMPS-2012-10,82.4,85.9,86.26666667,86.02916667,115.4,79.3,114.5
FLUF-2012-10,130.1,120.3,116.9833333,115.0791667,130.1,66.5,115.6
MCHO-2012-10,67.2,71.75,77.5,80.77916667,116.4,67.2,102.4
MEGA-2012-10,101.6,95.75,92.55,92.55,128.3,52.1,82.2
OCTO-2012-10,102.6,102.85,102.1333333,101.175,121.5,71.8,127.4
PHSH-2012-10,129.4,101.85,94.3,90.675,129.4,74.3,58.6
ROBO-2012-10,71.7,63.75,61.35,61.45,104.3,55.8,111
SHSR-2012-10,114.8,124.75,120.9333333,116.2125,134.7,67.1,88.7
